rank,lemma,pos,freq
325,winnen,VERB,67810
326,deur,NOUN,67738
327,jezelf,PRON,67188
328,hoeveel,NUM,67162
329,deel,NOUN,67120
330,land,NOUN,66772
331,dochter,NOUN,66748
332,verhaal,NOUN,66204
333,woord,NOUN,65759
334,wijzen,VERB,65333
335,haal,NOUN,64852
336,ergen,ADV,64809
337,vier,NUM,64780
338,welk,PRON,64115
339,heer,NOUN,63722
340,help,NOUN,63532
341,voordat,SCONJ,63075
342,kopen,VERB,62885
343,klinken,VERB,62846
344,stuk,NOUN,62765
345,foto,NOUN,62534
346,rijden,VERB,62335
347,zodat,SCONJ,62255
348,drinken,VERB,62241
349,moord,NOUN,61774
350,fijn,ADJ,61723
351,veilig,ADJ,61374
352,leggen,VERB,61369
353,lekker,ADJ,61210
354,mogelijk,ADJ,61069
355,reden,NOUN,60965
356,water,NOUN,60841
357,eerder,ADJ,60548
358,telefoon,NOUN,60427
359,lk,VERB,60362
360,mis,NOUN,60292
361,lezen,VERB,59293
362,baby,NOUN,59278
363,boven,ADP,59016
364,missen,VERB,58984
365,geval,NOUN,58839
366,gelukkig,ADJ,58446
367,dr,SYM,57649
368,sinds,ADP,57267
369,schrijven,VERB,56873
370,hard,ADJ,56843
371,lief,ADJ,56792
372,zoveel,NUM,56681
373,avond,NOUN,56549
374,vaak,ADJ,56525
375,fout,NOUN,56155
376,hetzelfde,ADJ,56072
377,mevrouw,NOUN,55850
378,snap,ADJ,55686
379,dragen,VERB,55612
380,verkeerd,ADJ,55334
381,dollar,NOUN,55284
382,vriendin,NOUN,55191
383,druk,ADJ,55117
384,schat,NOUN,54898
385,schuld,NOUN,54855
386,stellen,VERB,54799
387,vergeten,VERB,54741
388,ervan,ADV,54520
389,waarschijnlijk,ADJ,54358
390,hoi,NOUN,54330
391,bloed,NOUN,53765
392,hart,NOUN,53339
393,nieuws,NOUN,53254
394,bed,NOUN,53226
395,vertrekken,VERB,53064
396,waarheid,NOUN,52805
397,papa,NOUN,52556
398,gezicht,NOUN,52476
399,boek,NOUN,52373
400,nummer,NOUN,52263
401,vertrouwen,VERB,52069
402,zorg,NOUN,51990
403,eerlijk,ADJ,51621
404,bezig,ADJ,51568
405,voorbij,ADJ,51461
406,terwijl,SCONJ,51386
407,sta,VERB,51380
408,tien,NUM,51105
409,jong,ADJ,51061
410,duidelijk,ADJ,50325
411,stel,NOUN,50175
412,the,SYM,50102
413,schiet,VERB,50037
414,eraan,ADV,50016
415,zes,NUM,49982
416,schieten,VERB,49915
417,begin,NOUN,49685
418,slaan,VERB,49632
419,vol,ADP,49460
420,rond,ADP,49059
421,baas,NOUN,48971
422,hoog,ADJ,48304
423,vechten,VERB,48184
424,mam,NOUN,48070
425,lichaam,NOUN,47882
426,wakker,ADJ,47750
427,ouder,NOUN,47675
428,zoiets,PRON,47574
429,vreemd,ADJ,47552
430,dame,NOUN,47496
431,verwachten,VERB,47387
432,recht,NOUN,47193
433,los,ADJ,47185
434,feest,NOUN,47122
435,per,ADP,46924
436,mama,NOUN,46820
437,team,NOUN,46661
438,beschermen,VERB,46206
439,meteen,ADV,46199
440,aardig,ADJ,46188
441,zeer,ADV,46111
442,dezelfde,ADJ,45938
443,verdienen,VERB,45868
444,prachtig,ADJ,45768
445,liefde,NOUN,45767
446,alstublieft,ADV,45696
447,kerel,NOUN,45652
448,verkopen,VERB,45650
449,sterk,ADJ,45572
450,kop,NOUN,45509
451,erop,ADV,45415
452,neer,ADP,44595
453,buurt,NOUN,44533
454,langs,ADP,44529
455,miljoen,NOUN,44421
456,rest,NOUN,44302
457,film,NOUN,44187
458,sir,PROPN,44022
459,verdwijnen,VERB,43637
460,beneden,ADP,43261
461,vergeeten,ADJ,43213
462,vooruit,ADV,43171
463,mrs,PRON,43163
464,baan,NOUN,42966
465,dicht,ADJ,42908
466,inderdaad,ADV,42901
467,perfect,ADJ,42596
468,oorlog,NOUN,42460
469,trekken,VERB,42414
470,duren,VERB,42372
471,zus,NOUN,42208
472,mezelf,PRON,42111
473,tijdens,ADP,42029
474,john,PROPN,41998
475,normaal,ADJ,41810
476,beide,PRON,41736
477,regel,NOUN,41681
478,oke,X,41404
479,geluk,NOUN,41207
480,leiden,VERB,41059
481,stap,NOUN,40953
482,rust,NOUN,40686
483,licht,NOUN,40569
484,mond,NOUN,40549
485,slachtoffer,NOUN,40479
486,lukken,VERB,40243
487,punt,NOUN,40058
488,jack,PROPN,39704
489,kantoor,NOUN,39590
490,bestaan,VERB,39542
491,grap,NOUN,39523
492,ermee,ADV,39489
493,overal,ADV,39489
494,eén,NUM,39356
495,daarna,ADV,39346
496,kiezen,VERB,39241
497,schip,NOUN,39219
498,onderzoek,NOUN,39172
499,welkom,NOUN,39139
500,liever,ADV,39078
501,bewijs,NOUN,39005
502,vanaf,ADP,38990
503,arm,ADJ,38978
504,droom,NOUN,38836
505,persoon,NOUN,38721
506,boos,ADJ,38659
507,stil,ADJ,38180
508,klootzak,NOUN,38177
509,zwart,ADJ,37938
510,kracht,NOUN,37926
511,advocaat,NOUN,37806
512,half,ADJ,37761
513,vangen,VERB,37716
514,zin,NOUN,37661
515,straks,ADV,37601
516,vnen,NOUN,37493
517,breken,VERB,37480
518,haat,NOUN,37392
519,trouwen,VERB,37295
520,vandaan,ADP,37082
521,miss,PROPN,36969
522,lieveren,VERB,36929
523,zichzelf,PRON,36924
524,regelen,VERB,36473
525,raar,ADJ,36190
526,allebei,PRON,36178
527,makkelijk,ADJ,36122
528,pap,NOUN,36114
529,nergens,ADV,36087
530,kwaad,NOUN,36067
531,sam,VERB,36052
532,ziek,ADJ,35906
533,erin,ADV,35890
534,ervoor,ADV,35890
535,gisteren,ADV,35814
536,bewijzen,VERB,35719
537,verlaten,VERB,35538
538,new,NOUN,35306
539,gat,NOUN,35188
540,vorig,ADJ,35131
541,antwoord,NOUN,35114
542,informatie,NOUN,35029
543,contact,NOUN,35013
544,kapitein,NOUN,34916
545,vreselijk,ADJ,34838
546,kwijt,ADJ,34810
547,enkel,ADV,34753
548,slim,ADJ,34680
549,stelen,VERB,34462
550,sluiten,VERB,34419
551,herinneren,VERB,33988
552,zwaar,ADJ,33958
553,pa,NOUN,33925
554,serieus,ADJ,33884
555,gast,NOUN,33833
556,ziekenhuis,NOUN,33702
557,gevoel,NOUN,33679
558,voorzichtig,ADJ,33604
559,hond,NOUN,33539
